case_id,activity,timestamp,lifecycle,resource,priority,activity_priority,decision,decision_time,system_time
Maquina_1,Arrival,0.0,complete,,0.0,,,,
Maquina_1,Operacao,0.0,start,,0.0,,,,
Maquina_1,Operacao,2259.224606957093,complete,,0.0,,,,
Maquina_1,Manutencao,2602.240585939472,start,Equipes,0.0,,,,
Maquina_1,Manutencao,5997.8809073883385,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,5997.8809073883385,complete,,,,Dispose_No,5997.8809073883385,
Maquina_1,Operacao,5997.8809073883385,start,,0.0,,,,
Maquina_1,Operacao,6090.608420420997,complete,,0.0,,,,
Maquina_1,Manutencao,7793.735185193763,start,Equipes,0.0,,,,
Maquina_1,Manutencao,9905.56211689128,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,9905.56211689128,complete,,,,Dispose_No,9905.56211689128,
Maquina_1,Operacao,9905.56211689128,start,,0.0,,,,
Maquina_1,Operacao,14299.379736182746,complete,,0.0,,,,
Maquina_1,Manutencao,15362.253074436816,start,Equipes,0.0,,,,
Maquina_1,Manutencao,16240.965673535415,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,16240.965673535415,complete,,,,Dispose_No,16240.965673535415,
Maquina_1,Operacao,16240.965673535415,start,,0.0,,,,
Maquina_1,Operacao,18010.579932821962,complete,,0.0,,,,
Maquina_1,Manutencao,21120.113188156625,start,Equipes,0.0,,,,
Maquina_1,Manutencao,21401.656080148492,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,21401.656080148492,complete,,,,Dispose_No,21401.656080148492,
Maquina_1,Operacao,21401.656080148492,start,,0.0,,,,
Maquina_1,Operacao,23941.325873144233,complete,,0.0,,,,
Maquina_1,Manutencao,23941.325873144233,start,Equipes,0.0,,,,
Maquina_1,Manutencao,23953.70709752605,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,23953.70709752605,complete,,,,Dispose_No,23953.70709752605,
Maquina_1,Operacao,23953.70709752605,start,,0.0,,,,
Maquina_1,Operacao,24283.426588526327,complete,,0.0,,,,
Maquina_1,Manutencao,24392.77457752214,start,Equipes,0.0,,,,
Maquina_1,Manutencao,29427.227950713317,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,29427.227950713317,complete,,,,Dispose_No,29427.227950713317,
Maquina_1,Operacao,29427.227950713317,start,,0.0,,,,
Maquina_1,Operacao,34336.80432292583,complete,,0.0,,,,
Maquina_1,Manutencao,35106.9595769962,start,Equipes,0.0,,,,
Maquina_1,Manutencao,35317.48871040776,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,35317.48871040776,complete,,,,Dispose_No,35317.48871040776,
Maquina_1,Operacao,35317.48871040776,start,,0.0,,,,
Maquina_1,Operacao,37175.412670496116,complete,,0.0,,,,
Maquina_1,Manutencao,37175.412670496116,start,Equipes,0.0,,,,
Maquina_1,Manutencao,38766.80935836375,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,38766.80935836375,complete,,,,Dispose_No,38766.80935836375,
Maquina_1,Operacao,38766.80935836375,start,,0.0,,,,
Maquina_1,Operacao,45531.68506277308,complete,,0.0,,,,
Maquina_1,Manutencao,48510.36843609243,start,Equipes,0.0,,,,
Maquina_1,Manutencao,49707.79522194358,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,49707.79522194358,complete,,,,Dispose_No,49707.79522194358,
Maquina_1,Operacao,49707.79522194358,start,,0.0,,,,
Maquina_1,Operacao,51355.018620849034,complete,,0.0,,,,
Maquina_1,Manutencao,53524.31575629817,start,Equipes,0.0,,,,
Maquina_1,Manutencao,55684.8618540413,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,55684.8618540413,complete,,,,Dispose_No,55684.8618540413,
Maquina_1,Operacao,55684.8618540413,start,,0.0,,,,
Maquina_1,Operacao,63410.8677616223,complete,,0.0,,,,
Maquina_1,Manutencao,63410.8677616223,start,Equipes,0.0,,,,
Maquina_1,Manutencao,64057.6695773791,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,64057.6695773791,complete,,,,Dispose_No,64057.6695773791,
Maquina_1,Operacao,64057.6695773791,start,,0.0,,,,
Maquina_1,Operacao,66416.56782846125,complete,,0.0,,,,
Maquina_1,Manutencao,66416.56782846125,start,Equipes,0.0,,,,
Maquina_1,Manutencao,68434.38460715435,complete,Equipes,0.0,,,,
Maquina_1,DisposeDecision_Dispose_No,68434.38460715435,complete,,,,Dispose_No,68434.38460715435,
Maquina_1,Operacao,68434.38460715435,start,,0.0,,,,
