case_id,activity,timestamp,lifecycle,resource,priority,activity_priority,decision,decision_time,system_time
Ent_A_1,Arrival,0.0,complete,,0.0,,,,
Ent_A_1,Ativ_1,0.0,start,Rec1,0.0,,,,
Ent_A_1,Ativ_1,6.5102969103570185,complete,Rec1,0.0,,,,
Ent_A_1,Decide1_It_is_Ent_A_Attrib_01,6.5102969103570185,complete,,,,It_is_Ent_A_Attrib_01,6.5102969103570185,
Ent_A_1,Discharge,6.5102969103570185,complete,,,,,,6.5102969103570185
Ent_A_10,Arrival,89.69595067804993,complete,,3.0,,,,
Ent_A_10,Ativ_1,89.69595067804993,start,Rec1,3.0,,,,
Ent_A_10,Ativ_1,96.4468253956058,complete,Rec1,3.0,,,,
Ent_A_10,Decide1_It_is_Ent_A_Attrib_02,96.4468253956058,complete,,,,It_is_Ent_A_Attrib_02,96.4468253956058,
Ent_A_10,Ativ_2,96.4468253956058,start,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Ativ_2,96.4468253956058,start,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Ativ_2,96.9468253956058,complete,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Decide2_Route2,96.9468253956058,complete,,,,Route2,96.9468253956058,
Ent_A_10,Decide3_Go_on,96.9468253956058,complete,,,,Go_on,96.9468253956058,
Ent_A_10,Ativ_2,96.9468253956058,start,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Ativ_2,96.9468253956058,start,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Ativ_2,97.4468253956058,complete,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Decide2_Route2,97.4468253956058,complete,,,,Route2,97.4468253956058,
Ent_A_10,Decide3_Go_on,97.4468253956058,complete,,,,Go_on,97.4468253956058,
Ent_A_10,Ativ_2,97.4468253956058,start,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Ativ_2,97.4468253956058,start,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Ativ_2,97.9468253956058,complete,"Rec2, Rec3",3.0,0.0,,,
Ent_A_10,Decide2_Route2,97.9468253956058,complete,,,,Route2,97.9468253956058,
Ent_A_10,Decide3_Go_on,97.9468253956058,complete,,,,Go_on,97.9468253956058,
