case_id,activity,timestamp,lifecycle,resource,priority,activity_priority,decision,decision_time,system_time
Caminhao_1,Arrival,0.0,complete,,0.0,,,,
Caminhao_1,Recepcao,0.0,start,Porteiro,0.0,,,,
Caminhao_1,Recepcao,7.772934361149797,complete,Porteiro,0.0,,,,
Caminhao_1,Decide_Tipo_Carga_Carga_B,7.772934361149797,complete,,,,Carga_B,7.772934361149797,
Caminhao_1,Decide_Doca_B_Doca_B1,7.772934361149797,complete,,,,Doca_B1,7.772934361149797,
Caminhao_1,Descarga_B1,7.772934361149797,start,Doca_B1,0.0,,,,
Caminhao_1,Descarga_B1,45.58271528190001,complete,Doca_B1,0.0,,,,
Caminhao_1,Liberacao,45.58271528190001,start,Funcionario,0.0,,,,
Caminhao_1,Liberacao,52.692904061650175,complete,Funcionario,0.0,,,,
Caminhao_1,Vistoria,52.692904061650175,start,Porteiro,0.0,,,,
Caminhao_1,Vistoria,58.58071638850775,complete,Porteiro,0.0,,,,
Caminhao_1,Discharge,58.58071638850775,complete,,,,,,58.58071638850775
Caminhao_10,Arrival,155.10740782550775,complete,,0.0,,,,
Caminhao_10,Recepcao,155.10740782550775,start,Porteiro,0.0,,,,
Caminhao_10,Recepcao,162.7214984234427,complete,Porteiro,0.0,,,,
Caminhao_10,Decide_Tipo_Carga_Carga_B,162.7214984234427,complete,,,,Carga_B,162.7214984234427,
Caminhao_10,Decide_Doca_B_Doca_B2,162.7214984234427,complete,,,,Doca_B2,162.7214984234427,
Caminhao_10,Descarga_B2,184.71850431410104,start,Doca_B2,0.0,,,,
Caminhao_10,Descarga_B2,221.72460788001,complete,Doca_B2,0.0,,,,
Caminhao_10,Liberacao,221.72460788001,start,Funcionario,0.0,,,,
Caminhao_10,Liberacao,230.02465257278922,complete,Funcionario,0.0,,,,
Caminhao_10,Vistoria,230.02465257278922,start,Porteiro,0.0,,,,
Caminhao_10,Vistoria,231.04454202304996,complete,Porteiro,0.0,,,,
Caminhao_10,Discharge,231.04454202304996,complete,,,,,,75.9371341975422
Caminhao_100,Arrival,1931.4495349337717,complete,,0.0,,,,
Caminhao_100,Recepcao,1932.5604119754112,start,Porteiro,0.0,,,,
Caminhao_100,Recepcao,1948.940611279745,complete,Porteiro,0.0,,,,
Caminhao_100,Decide_Tipo_Carga_Carga_B,1948.940611279745,complete,,,,Carga_B,1948.940611279745,
Caminhao_100,Decide_Doca_B_Doca_B2,1948.940611279745,complete,,,,Doca_B2,1948.940611279745,
Caminhao_100,Descarga_B2,1948.940611279745,start,Doca_B2,0.0,,,,
Caminhao_100,Descarga_B2,1987.6837519131414,complete,Doca_B2,0.0,,,,
Caminhao_100,Liberacao,1987.6837519131414,start,Funcionario,0.0,,,,
Caminhao_100,Liberacao,1996.0227492100487,complete,Funcionario,0.0,,,,
Caminhao_100,Vistoria,1996.0227492100487,start,Porteiro,0.0,,,,
Caminhao_100,Vistoria,2010.2580586044983,complete,Porteiro,0.0,,,,
Caminhao_100,Discharge,2010.2580586044983,complete,,,,,,78.80852367072657
Caminhao_1000,Arrival,25184.01553509401,complete,,0.0,,,,
Caminhao_1000,Recepcao,25194.284197022018,start,Porteiro,0.0,,,,
Caminhao_1000,Recepcao,25195.431939053487,complete,Porteiro,0.0,,,,
Caminhao_1000,Decide_Tipo_Carga_Carga_B,25195.431939053487,complete,,,,Carga_B,25195.431939053487,
Caminhao_1000,Decide_Doca_B_Doca_B1,25195.431939053487,complete,,,,Doca_B1,25195.431939053487,
Caminhao_1000,Descarga_B1,25195.431939053487,start,Doca_B1,0.0,,,,
Caminhao_1000,Descarga_B1,25241.24717106731,complete,Doca_B1,0.0,,,,
Caminhao_1000,Liberacao,25241.24717106731,start,Funcionario,0.0,,,,
Caminhao_1000,Liberacao,25248.62717482322,complete,Funcionario,0.0,,,,
Caminhao_1000,Vistoria,25248.62717482322,start,Porteiro,0.0,,,,
Caminhao_1000,Vistoria,25250.006687296463,complete,Porteiro,0.0,,,,
Caminhao_1000,Discharge,25250.006687296463,complete,,,,,,65.99115220245221
Caminhao_10000,Arrival,249656.9620040507,complete,,0.0,,,,
Caminhao_10000,Recepcao,249675.80421416217,start,Porteiro,0.0,,,,
Caminhao_10000,Recepcao,249678.39651644783,complete,Porteiro,0.0,,,,
Caminhao_10000,Decide_Tipo_Carga_Carga_B,249678.39651644783,complete,,,,Carga_B,249678.39651644783,
Caminhao_10000,Decide_Doca_B_Doca_B2,249678.39651644783,complete,,,,Doca_B2,249678.39651644783,
Caminhao_10000,Descarga_B2,249678.39651644783,start,Doca_B2,0.0,,,,
Caminhao_10000,Descarga_B2,249717.17637465164,complete,Doca_B2,0.0,,,,
Caminhao_10000,Liberacao,249717.17637465164,start,Funcionario,0.0,,,,
Caminhao_10000,Liberacao,249724.36480907266,complete,Funcionario,0.0,,,,
Caminhao_10000,Vistoria,249724.36480907266,start,Porteiro,0.0,,,,
Caminhao_10000,Vistoria,249729.3769151234,complete,Porteiro,0.0,,,,
Caminhao_10000,Discharge,249729.3769151234,complete,,,,,,72.41491107270122
Caminhao_10001,Arrival,249687.19103151228,complete,,0.0,,,,
Caminhao_10001,Recepcao,249687.19103151228,start,Porteiro,0.0,,,,
Caminhao_10001,Recepcao,249690.79227470732,complete,Porteiro,0.0,,,,
Caminhao_10001,Decide_Tipo_Carga_Carga_B,249690.79227470732,complete,,,,Carga_B,249690.79227470732,
Caminhao_10001,Decide_Doca_B_Doca_B1,249690.79227470732,complete,,,,Doca_B1,249690.79227470732,
Caminhao_10001,Descarga_B1,249725.39318118055,start,Doca_B1,0.0,,,,
Caminhao_10001,Descarga_B1,249759.55721604463,complete,Doca_B1,0.0,,,,
Caminhao_10001,Liberacao,249759.55721604463,start,Funcionario,0.0,,,,
Caminhao_10001,Liberacao,249767.52638622664,complete,Funcionario,0.0,,,,
Caminhao_10001,Vistoria,249768.31089248677,start,Porteiro,0.0,,,,
Caminhao_10001,Vistoria,249778.0738186274,complete,Porteiro,0.0,,,,
Caminhao_10001,Discharge,249778.0738186274,complete,,,,,,90.8827871151152
Caminhao_10002,Arrival,249691.16806065422,complete,,0.0,,,,
Caminhao_10002,Recepcao,249691.16806065422,start,Porteiro,0.0,,,,
Caminhao_10002,Recepcao,249691.9756572786,complete,Porteiro,0.0,,,,
Caminhao_10002,Decide_Tipo_Carga_Carga_B,249691.9756572786,complete,,,,Carga_B,249691.9756572786,
Caminhao_10002,Decide_Doca_B_Doca_B2,249691.9756572786,complete,,,,Doca_B2,249691.9756572786,
Caminhao_10002,Descarga_B2,249717.17637465164,start,Doca_B2,0.0,,,,
Caminhao_10002,Descarga_B2,249759.78937732655,complete,Doca_B2,0.0,,,,
Caminhao_10002,Liberacao,249767.52638622664,start,Funcionario,0.0,,,,
Caminhao_10002,Liberacao,249775.13376083007,complete,Funcionario,0.0,,,,
Caminhao_10002,Vistoria,249778.0738186274,start,Porteiro,0.0,,,,
Caminhao_10002,Vistoria,249780.2524527043,complete,Porteiro,0.0,,,,
Caminhao_10002,Discharge,249780.2524527043,complete,,,,,,89.08439205007744
Caminhao_10003,Arrival,249731.61528059858,complete,,0.0,,,,
Caminhao_10003,Recepcao,249731.61528059858,start,Porteiro,0.0,,,,
Caminhao_10003,Recepcao,249736.56731816023,complete,Porteiro,0.0,,,,
Caminhao_10003,Decide_Tipo_Carga_Carga_B,249736.56731816023,complete,,,,Carga_B,249736.56731816023,
Caminhao_10003,Decide_Doca_B_Doca_B1,249736.56731816023,complete,,,,Doca_B1,249736.56731816023,
Caminhao_10003,Descarga_B1,249759.55721604463,start,Doca_B1,0.0,,,,
Caminhao_10003,Descarga_B1,249796.80924111907,complete,Doca_B1,0.0,,,,
